TipoMaturità,VotoDiploma,CFU1,AnniFuoriCorso
5.0,100.0,18,1.0
11.0,91.0,48,0.0
11.0,100.0,60,0.0
5.0,81.0,33,1.0
5.0,93.0,48,0.0
5.0,100.0,60,0.0
8.0,100.0,60,0.0
11.0,88.0,36,1.0
11.0,86.0,42,1.0
7.0,100.0,60,1.0
11.0,100.0,60,1.0
