Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC
129,A3622,33,45,42,120,06122,L2,2012,3,2012,76,AVPS02701R,Classica,2016,106,0,0,Cessato,Laureato,2
130,A4927,27,?,?,27,06122,L2,2012,3,2011,83,SATF06000P,Tecnico,?,?,0,0,Cessato,Rinuncia,0
131,A193,54,60,66,180,06122,L2,2012,3,2012,98,SAPS120003,Scientifica,2014,104,0,0,Cessato,Laureato,0
132,A1988,?,?,?,0,06122,L2,2012,1,2012,95,SAPC00101P,Scientifica,?,?,0,0,Cessato,Rinuncia,0
133,A1955,54,54,72,180,06122,L2,2012,3,2012,100,SAPS10000T,Scientifica,2014,111,0,0,Cessato,Laureato,0
134,A1083,45,45,81,171,06122,L2,2012,3,2011,95,SAPS120003,Scientifica,2015,94,0,0,Cessato,Laureato,1
135,A3880,?,?,?,?,06122,L2,2012,1,2012,83,SAPS020006,Scientifica,?,?,0,0,Cessato,Rinuncia,0
136,A1839,?,?,?,?,06122,L2,2012,1,2009,,?,0,0,Cessato,Errata-Immatricolazione,
137,A2896,51,15,36,102,06122,L2,2012,3,2012,90,SAPS08000T,Scientifica,2017,97,0,0,Cessato,Laureato,3
138,A4972,27,39,36,102,06122,L2,2012,3,2012,82,SAPS04401Q,Scientifica,2017,90,0,0,Cessato,Laureato,3
139,A255,21,18,33,72,06122,L2,2012,3,2012,87,SAPM012019,Linguistico,?,?,0,0,Attivo,Immatricolazione,4
140,A3855,60,60,60,180,06122,L2,2012,3,2012,100,SAPS09000C,Scientifica,2014,111,0,0,Cessato,Laureato,0
141,A3468,42,42,51,135,06122,L2,2012,3,2012,100,PZPS01901V,Scientifica,2015,102,0,0,Cessato,Laureato,1
142,A3913,36,6,?,42,06122,L2,2012,3,2012,98,SAPS10000T,Scientifica,?,?,0,0,Cessato,Decadenza,0
143,A687,54,66,60,180,06122,L2,2012,3,2012,100,SAPS01000G,Scientifica,2014,101,0,0,Cessato,Laureato,0
144,A4811,6,?,?,6,06122,L2,2012,1,2012,84,TAPS02301Q,Scientifica,?,?,0,0,Cessato,Rinuncia,0
145,A2258,54,60,66,180,06122,L2,2012,3,2012,100,SAPC10000P,Scientifica,2014,109,1,0,Cessato,Laureato,0
146,A4048,15,33,12,60,06122,L2,2012,3,2012,84,SAPS04401Q,Scientifica,?,?,0,0,Attivo,Immatricolazione,4
147,A3407,6,?,?,6,06122,L2,2012,1,2012,100,NAPC030007,Classica,?,?,0,0,Cessato,Rinuncia,0
148,A3456,48,36,63,147,06122,L2,2012,3,2011,75,AVRI01601G,Tecnico,2015,96,0,0,Cessato,Laureato,1
149,A2749,33,12,21,66,06122,L2,2012,3,2012,75,FRTF020002,Tecnico,?,?,0,0,Attivo,Immatricolazione,4
150,A4406,60,36,36,132,06122,L2,2012,3,2012,89,SATF06000P,Tecnico,2016,103,0,0,Cessato,Laureato,2
151,A1385,60,48,69,177,06122,L2,2012,3,2012,96,AVPS06000B,Scientifica,2015,104,0,0,Cessato,Laureato,1
152,A334,27,18,18,63,06122,L2,2012,3,2011,80,SATF06000P,Tecnico,?,?,0,0,Attivo,Immatricolazione,4
153,A3978,30,24,6,60,06122,L2,2012,3,2012,90,SAPS02401E,Scientifica,?,?,0,0,Attivo,Immatricolazione,4
154,A3583,54,54,72,180,06122,L2,2012,3,2012,98,SAPS020006,Scientifica,2014,101,0,0,Cessato,Laureato,0
155,A338,?,?,?,?,06122,L2,2012,1,2011,73,SAPM06000N,Socio-Psico-Pedagogico,?,?,0,0,Cessato,Rinuncia,0
156,A2942,48,24,51,123,06122,L2,2012,3,2011,91,SAPS09000C,Scientifica,2016,104,0,0,Cessato,Laureato,2
157,A650,60,42,45,147,06122,L2,2012,3,2012,97,SAPS18000P,Scientifica,2015,94,0,0,Cessato,Laureato,1
158,A3100,48,54,63,165,06122,L2,2012,3,2012,100,NAPM130008,Scientifica,2015,103,0,0,Cessato,Laureato,1
159,A1457,12,21,24,57,06122,L2,2012,3,2012,82,BNPS010006,Scientifica,?,?,0,0,Attivo,Immatricolazione,4
160,A915,54,36,36,126,06122,L2,2012,3,2012,83,SAPS170004,Scientifica,2016,97,0,0,Cessato,Laureato,2
161,A3144,?,?,?,?,06122,L2,2012,1,2010,70,NAPC19000Q,Scientifica,?,?,0,0,Cessato,Rinuncia,0
162,A2263,15,33,18,66,06122,L2,2012,3,2012,95,SAPS08000T,Scientifica,?,?,0,0,Attivo,Immatricolazione,4
163,A3083,42,36,18,96,06122,L2,2012,3,2010,65,SATD18000E,Geometra,2016,105,0,0,Cessato,Laureato,2
164,A2420,30,42,24,96,06122,L2,2012,3,2011,86,SAPS04000B,Scientifica,?,?,0,0,Attivo,Immatricolazione,4
165,A3578,42,42,51,135,06122,L2,2012,3,2012,84,AVPC05000N,Classica,2015,103,0,0,Cessato,Laureato,1
166,A844,33,27,54,114,06122,L2,2012,3,2012,79,NAPS180008,Scientifica,2017,95,0,0,Cessato,Laureato,3
167,A857,45,39,51,135,06122,L2,2012,3,2012,80,SAPS18000P,Scientifica,2016,93,0,0,Cessato,Laureato,2
168,A2570,?,?,?,0,06122,L2,2012,1,2012,80,AVPM040007,Scientifica,?,?,0,0,Cessato,Rinuncia,0
169,A2370,54,54,72,180,06122,L2,2012,3,2012,100,SAPS020006,Scientifica,2014,109,0,0,Cessato,Laureato,0
170,A3730,6,?,?,6,06122,L2,2012,1,2012,76,CEPM010008,Scientifica,?,?,0,0,Cessato,Rinuncia,0
171,A3825,54,36,30,120,06122,L2,2012,3,2012,100,SAPS020006,Scientifica,2016,104,0,0,Cessato,Laureato,2
172,A3879,48,60,72,180,06122,L2,2012,3,2012,100,SAPS04401Q,Scientifica,2014,111,0,0,Cessato,Laureato,0
173,A1215,27,51,18,96,06122,L2,2012,3,2012,71,CEPS875001,Scientifica,2017,94,0,0,Cessato,Laureato,3
174,A3845,21,?,?,21,06122,L2,2012,2,2011,84,SAPS09000C,Scientifica,?,?,0,0,Cessato,Decadenza,0
175,A3168,54,42,57,153,06122,L2,2012,3,2012,92,SAPS18000P,Scientifica,2015,104,0,0,Cessato,Laureato,1
176,A2445,27,9,6,42,06122,L2,2012,3,2011,93,NAPS160003,Scientifica,?,?,0,0,Cessato,Rinuncia,0
177,A1129,21,39,60,120,06122,L2,2012,3,2012,84,CEPC015007,Classica,2015,96,0,0,Cessato,Laureato,1
178,A2558,15,?,?,15,06122,L2,2012,3,2012,76,SAPS01000G,Scientifica,?,?,0,0,Cessato,Decadenza,
179,A1427,36,18,30,84,06122,L2,2012,3,2012,96,SAPS10000T,Scientifica,?,?,0,0,Attivo,Immatricolazione,4
180,A1412,21,45,30,96,06122,L2,2012,3,2012,95,AVPC05000N,Classica,2017,95,0,0,Cessato,Laureato,3
181,A4361,?,?,?,0,06122,L2,2012,1,2012,60,NAPSO4500F,Scientifica,?,?,0,0,Cessato,Rinuncia,0
182,A2579,?,?,?,0,06122,L2,2012,3,2011,83,AVPS12000T,Scientifica,?,?,0,0,Attivo,Immatricolazione,4
183,A3553,54,54,72,180,06122,L2,2012,3,2012,100,SAPS18000P,Scientifica,2014,103,0,0,Cessato,Laureato,0
184,A641,?,?,?,?,06122,L2,2012,1,2012,66,SATL03401B,Geometra,?,?,0,0,Cessato,Rinuncia,0
185,A3242,21,45,24,90,06122,L2,2012,3,2010,82,SAPM06000N,Socio-Psico-Pedagogico,?,?,0,0,Attivo,Immatricolazione,4
186,A35,15,51,30,96,06122,L2,2012,3,2012,74,SAPS18000P,Scientifica,2016,99,0,0,Cessato,Laureato,2
187,A3227,21,30,21,72,06122,L2,2012,3,2011,80,SAPS08000T,Scientifica,?,?,0,0,Attivo,Immatricolazione,4
188,A83,?,?,?,?,06122,L2,2012,1,2012,75,NAPS41500Q,Scientifica,?,?,0,0,Cessato,Errata-Immatricolazione,0
189,A4961,27,12,6,45,06122,L2,2012,3,2012,87,CEPS875001,Scientifica,?,?,0,0,Sospeso,Trasferimento-Uscita,0
190,A3104,?,?,?,?,06122,L2,2012,1,2012,66,SATF08000X,Tecnico,?,?,0,0,Cessato,Rinuncia,0
191,A1668,36,42,51,129,06122,L2,2012,3,2012,95,SAPS01000G,Scientifica,2016,105,0,0,Cessato,Laureato,2
