'Matr','CF','1','2','3','tot','CDS','Tipo_CDS','Coorte','Anni_Carriera','ANNO_DIPLOMA','VOTO_DIPLOMA','CODICE_MECCANOGRAFICO','TIPO_MATURITA','ANNO_ACCADEMICO_LAUREA','VOTO_LAUREA','Erasmus','TESI_ESTERO','STATO_STUDENTE','MOTIVO_STATO_STUDENTE','FC','CLASSE'
340,2913,48,54,69,171,612,3,2014,3,2014,87,273,'Scientifica',2017,100,0,0,'Cessato','Laureato',1,11
341,2507,30,24,36,90,612,3,2014,3,2014,70,200,'Classica',0,0,0,0,'Attivo','Immatricolazione',1,5
342,817,21,9,-1,30,612,3,2014,3,2014,62,157,'Tecnico',0,0,0,0,'Attivo','Immatricolazione',1,13
343,3722,48,60,72,180,612,3,2014,3,2014,100,289,'Tecnico',2016,111,0,0,'Cessato','Laureato',0,13
344,332,60,60,60,180,612,3,2014,3,2014,90,144,'Classica',2016,107,0,0,'Cessato','Laureato',0,5
345,499,48,12,18,78,612,3,2014,3,2013,80,300,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
346,4125,42,48,63,153,612,3,2014,3,2014,84,11,'Scientifica',2017,96,0,0,'Cessato','Laureato',1,11
347,2381,60,60,60,180,612,3,2014,3,2014,100,81,'Scientifica',2016,111,0,0,'Cessato','Laureato',0,11
348,1201,48,48,57,153,612,3,2014,3,2014,100,60,'Scientifica',2017,98,0,0,'Cessato','Laureato',1,11
349,783,36,36,63,135,612,3,2014,3,2014,83,11,'Scientifica',2017,92,0,0,'Cessato','Laureato',1,11
352,1151,36,24,18,78,612,3,2014,3,2013,86,121,'Liceo-Europeo',0,0,0,0,'Attivo','Immatricolazione',1,7
353,2254,54,60,66,180,612,3,2014,3,2014,96,207,'Scientifica',2016,103,0,0,'Cessato','Laureato',0,11
354,3762,42,36,12,90,612,3,2014,3,2014,95,280,'Tecnico',0,0,0,0,'Attivo','Immatricolazione',1,13
355,4319,48,24,42,114,612,3,2014,3,2014,81,254,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
356,2845,54,6,6,66,612,3,2014,3,2014,81,119,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
357,3996,48,42,63,153,612,3,2014,3,2014,72,300,'Scientifica',2017,97,0,0,'Cessato','Laureato',1,11
358,3851,9,-1,-1,9,612,3,2014,1,2014,100,252,'Tecnico',0,0,0,0,'Cessato','Rinuncia',1,13
363,2776,48,12,18,78,612,3,2014,3,2013,83,224,'Tecnico',0,0,0,0,'Attivo','Immatricolazione',1,13
364,2884,60,60,60,180,612,3,2014,3,2014,100,35,'Scientifica',2016,111,0,0,'Cessato','Laureato',0,11
366,829,30,18,6,54,612,3,2014,3,2014,86,246,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
367,1812,42,42,12,96,612,3,2014,3,2014,95,141,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
368,2987,48,36,51,135,612,3,2014,3,2014,78,15,'Scientifica',2017,98,0,0,'Cessato','Laureato',1,11
369,337,54,36,24,114,612,3,2014,3,2013,74,121,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
371,3482,36,12,24,72,612,3,2014,3,2013,80,224,'Tecnico',0,0,0,0,'Attivo','Immatricolazione',1,13
372,4494,9,-1,-1,9,612,3,2014,1,2013,95,214,'Scientifica',0,0,0,0,'Sospeso','Trasferimento-Uscita',1,11
373,3374,54,30,51,135,612,3,2014,3,2013,99,119,'Linguistico',2017,100,0,0,'Cessato','Laureato',1,8
374,3207,54,54,72,180,612,3,2014,3,2014,84,267,'Scientifica',2016,111,0,0,'Cessato','Laureato',0,11
376,3205,54,48,57,159,612,3,2014,3,2014,100,52,'Scientifica',2017,102,0,0,'Cessato','Laureato',1,11
377,1291,54,54,57,165,612,3,2014,3,2014,76,244,'Liceo-Europeo',2017,87,0,0,'Cessato','Laureato',1,7
378,3102,60,60,60,180,612,3,2014,3,2014,100,246,'Scientifica',2016,111,0,0,'Cessato','Laureato',0,11
379,481,39,27,18,84,612,3,2014,3,2013,80,265,'Socio-Psico-Pedagogico',0,0,0,0,'Attivo','Immatricolazione',1,12
380,69,48,48,45,141,612,3,2014,3,2014,78,201,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
381,1947,54,48,63,165,612,3,2014,3,2014,85,254,'Scientifica',2017,104,0,0,'Cessato','Laureato',1,11
382,995,48,54,69,171,612,3,2014,3,2014,87,81,'Scientifica',2017,99,0,0,'Cessato','Laureato',1,11
383,2539,54,54,72,180,612,3,2014,3,2014,97,35,'Scientifica',2016,111,0,0,'Cessato','Laureato',0,11
384,3877,48,42,69,159,612,3,2014,3,2014,99,158,'Artistico',2017,97,0,0,'Cessato','Laureato',1,4
385,4562,54,48,45,147,612,3,2014,3,2014,70,300,'Scientifica',2017,90,0,0,'Cessato','Laureato',1,11
386,3611,9,18,-1,27,612,3,2014,3,2014,67,273,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
388,3911,54,36,45,135,612,3,2014,3,2013,90,170,'Classica',0,0,0,0,'Attivo','Immatricolazione',1,5
389,2688,18,42,54,114,612,3,2014,3,2014,81,243,'Scientifica',2018,106,0,0,'Cessato','Laureato',1,11
390,4752,48,36,60,144,612,3,2014,3,2014,100,60,'Scientifica',2017,110,0,0,'Cessato','Laureato',1,11
391,371,36,18,18,72,612,3,2014,3,2013,88,273,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
392,2675,48,18,12,78,612,3,2014,3,2014,81,15,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
393,2945,42,6,12,60,612,3,2014,3,2013,66,228,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
394,596,54,54,69,177,612,3,2014,3,2014,74,7,'Scientifica',2017,103,0,0,'Cessato','Laureato',1,11
395,3844,54,30,18,102,612,3,2014,3,2013,88,221,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
396,2435,36,18,12,66,612,3,2014,3,2014,98,220,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
398,4333,42,36,42,120,612,3,2014,3,2013,68,81,'Scientifica',2017,98,0,0,'Cessato','Laureato',1,11
399,2842,54,54,72,180,612,3,2014,3,2014,96,11,'Scientifica',2016,110,0,0,'Cessato','Laureato',0,11
400,3654,48,48,57,153,612,3,2014,3,2014,100,243,'Liceo-Europeo',2017,106,0,0,'Cessato','Laureato',1,7
401,174,48,54,51,153,612,3,2014,3,2014,93,94,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
402,4536,48,48,84,180,612,3,2014,3,2014,100,58,'Classica',2016,109,0,0,'Cessato','Laureato',0,5
403,1015,48,48,84,180,612,3,2014,3,2014,100,58,'Classica',2016,107,0,0,'Cessato','Laureato',0,5
404,54,30,6,12,48,612,3,2013,3,2013,94,182,'Scientifica',0,0,0,0,'Attivo','Trasf_in_ingresso',1,11
407,2086,54,48,42,144,612,3,2014,3,2014,88,82,'Scientifica',2017,108,0,0,'Cessato','Laureato',1,11
409,2122,42,18,-1,60,612,3,2014,3,2014,100,1,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
410,1316,48,48,84,180,612,3,2014,3,2014,100,81,'Scientifica',2016,106,0,0,'Cessato','Laureato',0,11
412,414,48,54,69,171,612,3,2014,3,2013,92,58,'Classica',2017,100,0,0,'Cessato','Laureato',1,5
413,1619,21,15,12,48,612,3,2014,3,2013,76,16,'Scientifica',0,0,0,0,'Sospeso','Trasferimento-Uscita',1,11
414,2153,27,9,30,66,612,3,2014,3,2013,80,92,'Scientifica',0,0,0,0,'Cessato','Rinuncia',1,11
420,2134,42,54,57,153,612,3,2014,3,2014,86,220,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
423,1011,21,6,6,33,612,3,2014,3,2013,75,7,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
424,3832,6,-1,-1,6,612,3,2014,1,2014,74,159,'Scientifica',0,0,0,0,'Cessato','Rinuncia',1,11
427,4935,9,6,6,21,612,3,2014,3,2014,88,129,'Artistico',0,0,0,0,'Attivo','Immatricolazione',1,4
432,1228,48,24,24,96,612,3,2014,3,2014,72,91,'Classica',0,0,0,0,'Attivo','Immatricolazione',1,5
433,1090,48,42,33,123,612,3,2014,3,2014,92,11,'Scientifica',2017,92,0,0,'Cessato','Laureato',1,11
434,1072,48,48,69,165,612,3,2014,3,2014,95,226,'Scientifica',2017,101,0,0,'Cessato','Laureato',1,11
440,3388,54,54,72,180,612,3,2015,3,2015,85,254,'Scientifica',2017,110,0,0,'Cessato','Laureato',0,11
441,121,33,12,-1,45,612,3,2015,3,2012,68,251,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
442,1579,60,54,66,180,612,3,2015,3,2015,88,11,'Scientifica',2017,111,0,0,'Cessato','Laureato',0,11
444,482,54,60,66,180,612,3,2015,3,2015,100,295,'Scientifica',2017,100,0,0,'Cessato','Laureato',0,11
445,4403,54,66,60,180,612,3,2015,3,2015,100,273,'Scientifica',2017,111,0,0,'Cessato','Laureato',0,11
446,3542,54,36,51,141,612,3,2015,3,2015,98,53,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
447,300,48,36,45,129,612,3,2015,3,2015,72,54,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
448,4387,54,54,72,180,612,3,2015,3,2014,70,18,'Scientifica',2017,97,0,0,'Cessato','Laureato',0,11
449,4442,6,-1,-1,6,612,3,2015,3,2001,60,140,'Tecnico',0,0,0,0,'Attivo','Immatr-per-studente-decaduto',1,13
450,3969,27,-1,-1,27,612,3,2015,2,2014,90,191,'Scientifica',0,0,0,0,'Sospeso','Trasferimento-Uscita',1,11
451,3864,54,66,60,180,612,3,2015,3,2015,72,175,'Scientifica',2017,108,0,0,'Cessato','Laureato',0,11
452,393,54,36,51,141,612,3,2015,3,2015,73,177,'Ragioneria',0,0,0,0,'Attivo','Immatricolazione',1,10
453,3749,6,-1,-1,6,612,3,2015,1,2015,84,147,'Classica',0,0,0,0,'Cessato','Rinuncia',1,5
454,4805,54,18,6,78,612,3,2015,3,2015,83,91,'Classica',0,0,1,0,'Attivo','Immatricolazione',1,5
455,3917,54,12,24,90,612,3,2015,3,2015,72,63,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
456,2918,42,36,42,120,612,3,2015,3,2014,75,243,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
457,3764,54,54,57,165,612,3,2015,3,2015,100,246,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
458,1440,36,24,36,96,612,3,2015,3,2015,97,35,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
459,1426,54,42,57,153,612,3,2015,3,2015,71,82,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
460,2101,54,66,60,180,612,3,2015,3,2015,84,175,'Liceo-Europeo',2017,108,0,0,'Cessato','Laureato',0,7
461,4488,54,66,60,180,612,3,2015,3,2015,100,86,'Classica',2017,100,0,0,'Cessato','Laureato',0,5
462,4245,60,60,60,180,612,3,2015,3,2015,100,243,'Scientifica',2017,111,0,0,'Cessato','Laureato',0,11
463,152,42,36,51,129,612,3,2015,3,2015,85,121,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
464,2062,36,-1,-1,36,612,3,2015,1,2015,95,119,'Classica',0,0,0,0,'Cessato','Rinuncia',1,5
465,1406,42,12,-1,54,612,3,2015,3,2015,88,295,'Scientifica',0,0,0,0,'Cessato','Rinuncia',1,11
466,2215,60,60,60,180,612,3,2015,3,2015,100,35,'Scientifica',2017,111,0,0,'Cessato','Laureato',0,11
467,1382,60,60,60,180,612,3,2015,3,2015,100,175,'Scientifica',2017,111,0,0,'Cessato','Laureato',0,11
468,4887,54,48,78,180,612,3,2015,3,2015,99,175,'Scientifica',2017,103,0,0,'Cessato','Laureato',0,11
469,705,54,66,60,180,612,3,2015,3,2015,94,11,'Scientifica',2017,98,0,0,'Cessato','Laureato',0,11
470,1434,54,48,69,171,612,3,2015,3,2015,81,11,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
471,4359,54,18,6,78,612,3,2015,3,2015,85,273,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
472,4598,54,60,66,180,612,3,2015,3,2015,82,246,'Scientifica',2017,102,0,0,'Cessato','Laureato',0,11
473,1491,54,48,63,165,612,3,2015,3,2015,87,190,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
474,3490,54,66,60,180,612,3,2015,3,2015,82,11,'Scientifica',2017,99,0,0,'Cessato','Laureato',0,11
475,1462,12,-1,-1,12,612,3,2015,3,2015,80,295,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
476,3216,54,36,54,144,612,3,2015,3,2015,100,248,'Classica',0,0,0,0,'Attivo','Immatricolazione',1,5
477,307,36,30,12,78,612,3,2015,3,2015,77,32,'Tecnico',0,0,0,0,'Attivo','Immatricolazione',1,13
479,1618,54,24,24,102,612,3,2015,3,2015,87,175,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
480,4288,54,36,63,153,612,3,2015,3,2015,96,81,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
481,92,60,60,60,180,612,3,2015,3,2015,100,81,'Scientifica',2017,111,0,0,'Cessato','Laureato',0,11
482,929,54,30,57,141,612,3,2015,3,2015,78,243,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
483,744,42,48,30,120,612,3,2015,3,2015,94,277,'Geometra',0,0,0,0,'Attivo','Immatricolazione',1,6
484,4444,54,54,72,180,612,3,2015,3,2015,100,254,'Scientifica',2017,110,0,0,'Cessato','Laureato',0,11
485,677,12,12,9,33,612,3,2015,3,2015,80,15,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
