"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[""'Scientifica'"", 100, 1060]"
"[""'Tecnico'"", 64, 1030]"
"[""'Scientifica'"", 82, 1060]"
"[""'Scientifica'"", 90, 1060]"
"[""'Scientifica'"", 90, 1060]"
"[""'Tecnico'"", 65, 1060]"
"[""'Tecnico'"", 89, 1048]"
"[""'Scientifica'"", 100, 1060]"
"[""'Classica'"", 100, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 87, 1042]"
"[""'Scientifica'"", 98, 1054]"
"[""'Scientifica'"", 93, 1060]"
"[""'Socio-Psico-Pedagogico'"", 71, 1027]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 72, 1039]"
"[""'Scientifica'"", 77, 1048]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Agrario'"", 81, 1048]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 100, 1109]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 95, 1060]"
"[""'Classica'"", 88, 1060]"
"[""'Scientifica'"", 76, 1018]"
"[""'Scientifica'"", 62, 1033]"
"[""'Scientifica'"", 98, 1048]"
"[""'Scientifica'"", 100, 1063]"
"[""'Scientifica'"", 69, 1039]"
"[""'Scientifica'"", 83, 1060]"
"[""'Geometra'"", 78, 1039]"
"[""'Scientifica'"", 96, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 85, 1048]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 87, 1048]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 75, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 95, 1060]"
"[""'Scientifica'"", 96, 1039]"
"[""'Tecnico'"", 86, 1060]"
"[""'Scientifica'"", 96, 1060]"
"[""'Scientifica'"", 98, 1060]"
"[""'Ragioneria'"", 100, 1060]"
"[""'Classica'"", 100, 1060]"
"[""'Scientifica'"", 85, 1060]"
"[""'Scientifica'"", 86, 1039]"
"[""'Scientifica'"", 100, 1060]"
"[""'Classica'"", 80, 1048]"
"[""'Scientifica'"", 98, 1048]"
"[""'Scientifica'"", 80, 1060]"
"[""'Scientifica'"", 82, 1048]"
"[""'Scientifica'"", 84, 1006]"
"[""'Tecnico'"", 85, 1048]"
"[""'Classica'"", 100, 1060]"
"[""'Scientifica'"", 92, 1048]"
"[""'Scientifica'"", 88, 1006]"
"[""'Scientifica'"", 95, 1048]"
"[""'Scientifica'"", 97, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Classica'"", 100, 1060]"
"[""'Classica'"", 88, 1060]"
"[""'Scientifica'"", 96, 1006]"
"[""'Scientifica'"", 70, 1054]"
"[""'Scientifica'"", 95, 1060]"
"[""'Scientifica'"", 77, 1042]"
"[""'Scientifica'"", 83, 1060]"
"[""'Scientifica'"", 83, 1060]"
"[""'Classica'"", 100, 1039]"
"[""'Scientifica'"", 88, 1060]"
"[""'Scientifica'"", 96, 1054]"
"[""'Liceo-Europeo'"", 68, 1048]"
"[""'Tecnico'"", 86, 1033]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 93, 1048]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 88, 1020]"
"[""'Scientifica'"", 73, 1024]"
"[""'Scientifica'"", 100, 1039]"
"[""'Tecnico'"", 100, 1021]"
"[""'Classica'"", 100, 1048]"
"[""'Scientifica'"", 83, 1036]"
"[""'Scientifica'"", 100, 1048]"
"[""'Classica'"", 82, 1012]"
"[""'Scientifica'"", 100, 1027]"
"[""'Scientifica'"", 71, 1012]"
"[""'Scientifica'"", 82, 1024]"
"[""'Scientifica'"", 100, 1048]"
"[""'Scientifica'"", 100, 1048]"
