Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC,CLASSE
1404,'A1314',36,-1,12,48,'06123',3,2014,3,2014,78,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1405,'A4379',48,45,84,177,'06123',3,2014,3,2014,90,'AVPS12000T','Scientifica',2017,108,0,0,'Cessato','Laureato',1,3
1406,'A4784',54,45,42,141,'06123',3,2014,3,2014,100,'SAPS01000G','Liceo-Europeo',0,0,0,0,'Attivo','Immatricolazione',2,1
1407,'A2786',42,39,36,117,'06123',3,2014,3,2013,91,'PZIS016001','Scientifica',2018,92,0,0,'Cessato','Laureato',2,3
1408,'A3751',48,57,75,180,'06123',3,2014,3,2014,75,'SAPS170004','Scientifica',2016,103,0,0,'Cessato','Laureato',0,3
1409,'A1622',48,57,72,177,'06123',3,2014,3,2014,100,'SAPS070007','Scientifica',2017,108,0,0,'Cessato','Laureato',1,3
1410,'A2089',42,51,54,147,'06123',3,2014,3,2014,73,'SAPS120003','Scientifica',2017,93,0,0,'Cessato','Laureato',1,3
1411,'A1828',33,21,45,99,'06123',3,2014,3,2014,86,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1412,'A16',42,39,12,93,'06123',3,2014,3,2014,93,'AVPS03000G','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1413,'A961',24,24,45,93,'06123',3,2014,3,2011,87,'SAIS02600Q','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1414,'A2844',33,21,51,105,'06123',3,2014,3,2014,85,'SATF04000D','Tecnico',0,0,0,0,'Attivo','Immatricolazione',2,2
1415,'A4625',24,27,12,63,'06123',3,2014,3,2014,100,'SAIS00100B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1418,'A716',48,18,39,105,'06123',3,2014,3,2014,86,'SAPS120003','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1422,'A2957',42,33,66,141,'06123',3,2014,3,2014,82,'SAPS10000T','Scientifica',2017,106,0,0,'Cessato','Laureato',1,3
