Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC,CLASSE
2327,'A1065',41,-1,-1,41,'06123',3,2018,1,2018,100,'NAPS01901L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2329,'A551',26,-1,-1,26,'06123',3,2018,1,2018,100,'PZPM01601C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2330,'A2849',29,-1,-1,29,'06123',3,2018,1,2018,85,'BNPS003014','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2331,'A1595',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPC05801E','Classica',0,0,0,0,'Attivo','Immatricolazione',0,2
2332,'A266',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2333,'A4314',26,-1,-1,26,'06123',3,2018,1,2018,90,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2334,'A2408',26,-1,-1,26,'06123',3,2018,1,2018,100,'NAPS06301P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2335,'A4299',17,-1,-1,17,'06123',3,2018,1,2018,100,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2336,'A1109',32,-1,-1,32,'06123',3,2018,1,2018,98,'SAIS061003','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2337,'A406',17,-1,-1,17,'06123',3,2018,1,2018,86,'AVPC05000N','Classica',0,0,0,0,'Attivo','Immatricolazione',0,2
2338,'A3617',35,-1,-1,35,'06123',3,2018,1,2018,95,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2339,'A957',35,-1,-1,35,'06123',3,2018,1,2018,68,'SAPS04401Q','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2340,'A1265',20,-1,-1,20,'06123',3,2018,1,2017,76,'SAPS01000G','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2341,'A1844',35,-1,-1,35,'06123',3,2018,1,2018,82,'AVPS06002D','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2343,'A4279',35,-1,-1,35,'06123',3,2018,1,2018,95,'SAPS02401E','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2344,'A4681',35,-1,-1,35,'06123',3,2018,1,2018,100,'NAPS01901L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2345,'A973',11,-1,-1,11,'06123',3,2018,1,2017,86,'SAPS04401Q','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2347,'A4189',29,-1,-1,29,'06123',3,2018,1,2016,93,'AVTF013011','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
2348,'A4025',8,-1,-1,8,'06123',3,2018,1,2018,95,'SATF04000D','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
2349,'A3991',29,-1,-1,29,'06123',3,2018,1,2018,78,'SAPS03000R','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2350,'A1330',35,-1,-1,35,'06123',3,2018,1,2018,83,'SAIS00100B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2351,'A1877',35,-1,-1,35,'06123',3,2018,1,2018,73,'SAPS18000P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2352,'A4395',35,-1,-1,35,'06123',3,2018,1,2018,87,'NATD01901C','Geometra',0,0,0,0,'Attivo','Immatricolazione',0,2
2353,'A626',35,-1,-1,35,'06123',3,2018,1,2018,90,'NAPS03901T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2354,'A1079',32,-1,-1,32,'06123',3,2018,1,2018,100,'SAPS11000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2355,'A1321',29,-1,-1,29,'06123',3,2018,1,2018,84,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2356,'A3724',35,-1,-1,35,'06123',3,2018,1,2018,85,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2357,'A3486',26,-1,-1,26,'06123',3,2018,1,2018,92,'SAPS04401Q','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2358,'A1084',26,-1,-1,26,'06123',3,2018,1,2018,91,'SAPS09000C','Liceo-Europeo',0,0,0,0,'Attivo','Immatricolazione',0,1
2359,'A4439',29,-1,-1,29,'06123',3,2018,1,2018,88,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2360,'A1290',26,-1,-1,26,'06123',3,2018,1,2017,64,'SAPS10000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2361,'A2910',35,-1,-1,35,'06123',3,2018,1,2017,67,'AVPS06000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2363,'A1946',35,-1,-1,35,'06123',3,2018,1,2018,83,'NAPS12000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2364,'A1111',17,-1,-1,17,'06123',3,2018,1,2018,100,'SATF04601D','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
2365,'A3711',35,-1,-1,35,'06123',3,2018,1,2018,84,'SAPS03000R','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2366,'A4098',17,-1,-1,17,'06123',3,2018,1,2018,83,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2367,'A4312',23,-1,-1,23,'06123',3,2018,1,2018,98,'NAPS06301P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
